weight,weights,rel_weights,center_of_mass,normalized_center_of_mass,inertia,normalized_inertia
301,"{'top_left': np.int64(45), 'top_right': np.int64(37), 'bottom_left': np.int64(100), 'bottom_right': np.int64(119)}","{'top_left': np.float64(0.16917293233082706), 'top_right': np.float64(0.13909774436090225), 'bottom_left': np.float64(0.37593984962406013), 'bottom_right': np.float64(0.4473684210526316)}","(np.float64(14.07641196013289), np.float64(23.84717607973422))","(np.float64(0.5027289985761747), np.float64(0.6445182724252492))","(np.float64(56.767342523813205), np.float64(49.193496760521406))","(np.float64(0.03931256407466288), np.float64(0.05849405084485304))"
263,"{'top_left': np.int64(49), 'top_right': np.int64(38), 'bottom_left': np.int64(52), 'bottom_right': np.int64(124)}","{'top_left': np.float64(0.18421052631578946), 'top_right': np.float64(0.14285714285714285), 'bottom_left': np.float64(0.19548872180451127), 'bottom_right': np.float64(0.46616541353383456)}","(np.float64(14.67680608365019), np.float64(25.749049429657795))","(np.float64(0.5435854105055626), np.float64(0.695920254855616))","(np.float64(92.40090213824112), np.float64(43.74725671905044))","(np.float64(0.06398954441706449), np.float64(0.055800072345727605))"
190,"{'top_left': np.int64(24), 'top_right': np.int64(36), 'bottom_left': np.int64(43), 'bottom_right': np.int64(87)}","{'top_left': np.float64(0.12631578947368421), 'top_right': np.float64(0.18947368421052632), 'bottom_left': np.float64(0.22631578947368422), 'bottom_right': np.float64(0.45789473684210524)}","(np.float64(10.7), np.float64(24.805263157894736))","(np.float64(0.5349999999999999), np.float64(0.6704125177809388))","(np.float64(74.01997229916897), np.float64(16.95736842105263))","(np.float64(0.05126036862823336), np.float64(0.03845208258742094))"
211,"{'top_left': np.int64(48), 'top_right': np.int64(68), 'bottom_left': np.int64(0), 'bottom_right': np.int64(95)}","{'top_left': np.float64(0.19433198380566802), 'top_right': np.float64(0.27530364372469635), 'bottom_left': np.float64(0.0), 'bottom_right': np.float64(0.38461538461538464)}","(np.float64(15.497630331753555), np.float64(19.85781990521327))","(np.float64(0.6199052132701423), np.float64(0.5366978352760343))","(np.float64(69.74281799600189), np.float64(30.392174479459133))","(np.float64(0.04829835041274369), np.float64(0.04495883798736558))"
247,"{'top_left': np.int64(42), 'top_right': np.int64(53), 'bottom_left': np.int64(75), 'bottom_right': np.int64(77)}","{'top_left': np.float64(0.14736842105263157), 'top_right': np.float64(0.18596491228070175), 'bottom_left': np.float64(0.2631578947368421), 'bottom_right': np.float64(0.27017543859649124)}","(np.float64(15.368421052631579), np.float64(23.020242914979757))","(np.float64(0.512280701754386), np.float64(0.6221687274318853))","(np.float64(73.15343637823928), np.float64(68.7104197741317))","(np.float64(0.050660274500165706), np.float64(0.0714988759356209))"
135,"{'top_left': np.int64(16), 'top_right': np.int64(24), 'bottom_left': np.int64(38), 'bottom_right': np.int64(57)}","{'top_left': np.float64(0.14035087719298245), 'top_right': np.float64(0.21052631578947367), 'bottom_left': np.float64(0.3333333333333333), 'bottom_right': np.float64(0.5)}","(np.float64(6.0), np.float64(24.0))","(np.float64(0.5), np.float64(0.6486486486486487))","(np.float64(60.666666666666664), np.float64(2.0))","(np.float64(0.0420129270544783), np.float64(0.011834319526627219))"
160,"{'top_left': np.int64(37), 'top_right': np.int64(43), 'bottom_left': np.int64(67), 'bottom_right': np.int64(13)}","{'top_left': np.float64(0.19473684210526315), 'top_right': np.float64(0.22631578947368422), 'bottom_left': np.float64(0.3526315789473684), 'bottom_right': np.float64(0.06842105263157895)}","(np.float64(9.05625), np.float64(20.63125))","(np.float64(0.4766447368421053), np.float64(0.5576013513513514))","(np.float64(68.89527343750001), np.float64(9.6030859375))","(np.float64(0.04771140819771469), np.float64(0.02400771484375))"
288,"{'top_left': np.int64(62), 'top_right': np.int64(54), 'bottom_left': np.int64(95), 'bottom_right': np.int64(77)}","{'top_left': np.float64(0.21754385964912282), 'top_right': np.float64(0.18947368421052632), 'bottom_left': np.float64(0.3333333333333333), 'bottom_right': np.float64(0.27017543859649124)}","(np.float64(14.100694444444445), np.float64(22.364583333333332))","(np.float64(0.47002314814814816), np.float64(0.6044481981981982))","(np.float64(66.09971788194444), np.float64(70.1113884066358))","(np.float64(0.04577542789608341), np.float64(0.07295669969473027))"
278,"{'top_left': np.int64(34), 'top_right': np.int64(60), 'bottom_left': np.int64(90), 'bottom_right': np.int64(94)}","{'top_left': np.float64(0.11929824561403508), 'top_right': np.float64(0.21052631578947367), 'bottom_left': np.float64(0.3157894736842105), 'bottom_right': np.float64(0.3298245614035088)}","(np.float64(15.23021582733813), np.float64(24.06115107913669))","(np.float64(0.507673860911271), np.float64(0.6331881862930707))","(np.float64(72.42431809947725), np.float64(64.24915894622431))","(np.float64(0.04761625121596137), np.float64(0.06685656498046234))"
70,"{'top_left': np.int64(16), 'top_right': np.int64(24), 'bottom_left': np.int64(12), 'bottom_right': np.int64(18)}","{'top_left': np.float64(0.14035087719298245), 'top_right': np.float64(0.21052631578947367), 'bottom_left': np.float64(0.10526315789473684), 'bottom_right': np.float64(0.15789473684210525)}","(np.float64(6.0), np.float64(17.5))","(np.float64(0.5), np.float64(0.47297297297297297))","(np.float64(16.25), np.float64(2.0))","(np.float64(0.011253462603878116), np.float64(0.011834319526627219))"
232,"{'top_left': np.int64(46), 'top_right': np.int64(66), 'bottom_left': np.int64(0), 'bottom_right': np.int64(120)}","{'top_left': np.float64(0.14743589743589744), 'top_right': np.float64(0.21153846153846154), 'bottom_left': np.float64(0.0), 'bottom_right': np.float64(0.38461538461538464)}","(np.float64(16.724137931034484), np.float64(25.698275862068964))","(np.float64(0.6689655172413793), np.float64(0.5353807471264368))","(np.float64(133.69344530321047), np.float64(30.56183115338882))","(np.float64(0.05568240120916721), np.float64(0.04520980939850417))"
199,"{'top_left': np.int64(38), 'top_right': np.int64(36), 'bottom_left': np.int64(38), 'bottom_right': np.int64(87)}","{'top_left': np.float64(0.16666666666666666), 'top_right': np.float64(0.15789473684210525), 'bottom_left': np.float64(0.16666666666666666), 'bottom_right': np.float64(0.3815789473684211)}","(np.float64(12.793969849246231), np.float64(24.045226130653266))","(np.float64(0.5562595586628796), np.float64(0.6327691087014017))","(np.float64(82.42509027549809), np.float64(27.088204843312035))","(np.float64(0.05419138085174102), np.float64(0.047028133408527836))"
